pair_id,overlap_ratio,noise_type,snr_db,track,cer_greedy,cer_energy_trim,cer_flatness_gate,cer_beam5,cer_halluc_silence,changed_energy_trim,changed_flatness_gate,changed_beam5,changed_halluc_silence
3,0.3,pink,10.0,spk2,0.555556,0.555556,0.555556,0.555556,0.555556,0,0,1,0
3,0.3,pink,5.0,spk1,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,1,0
3,0.3,pink,5.0,spk2,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,0,0
3,0.3,pink,0.0,spk1,0.777778,0.777778,0.777778,0.777778,0.777778,0,0,1,1
3,0.3,pink,0.0,spk2,0.444444,0.444444,0.444444,0.444444,0.444444,0,0,1,0
3,0.3,babble,10.0,spk1,0.666667,0.666667,0.666667,0.777778,0.666667,0,0,1,0
3,0.3,babble,10.0,spk2,0.444444,0.444444,0.111111,0.444444,0.444444,0,1,0,0
3,0.3,babble,5.0,spk1,1.0,1.0,1.0,1.0,1.0,0,0,0,0
3,0.3,babble,5.0,spk2,2.777778,2.777778,1.0,0.888889,1.333333,0,1,1,1
3,0.3,babble,0.0,spk1,24.777778,24.777778,1.0,2.111111,24.777778,0,1,1,0
3,0.3,babble,0.0,spk2,1.0,1.0,1.0,9.0,1.0,0,0,1,0
4,0.0,clean,clean,spk1,0.444444,0.444444,0.444444,0.666667,0.444444,1,1,1,0
4,0.0,clean,clean,spk2,0.727273,0.545455,0.454545,0.727273,0.727273,1,1,1,0
4,0.0,white,10.0,spk1,0.444444,0.444444,0.555556,0.444444,0.444444,0,1,1,0
4,0.0,white,10.0,spk2,0.818182,0.818182,0.545455,0.545455,0.818182,0,1,1,0
4,0.0,white,5.0,spk1,0.888889,0.888889,0.777778,0.777778,0.888889,0,1,1,0
4,0.0,white,5.0,spk2,0.727273,0.727273,0.545455,0.909091,0.727273,0,1,1,0
4,0.0,white,0.0,spk1,1.333333,1.333333,1.333333,1.0,1.333333,0,0,1,0
4,0.0,white,0.0,spk2,1.0,1.0,1.0,10.090909,1.0,0,0,1,0
4,0.0,pink,10.0,spk1,0.555556,0.555556,0.555556,0.777778,0.555556,0,0,1,0
