window_id,overlap_label,overlap_level,num_speakers,router_v2_method,router_v2_rule,is_mode_s,max_cr_separated,char_sep_error_rate,char_sep_errors,char_sep_length,char_sep_substitutions,char_sep_insertions,char_sep_deletions,char_sep_empty,char_mix_error_rate,char_mix_errors,char_mix_length,char_mix_substitutions,char_mix_insertions,char_mix_deletions,char_mix_empty,char_router_error_rate,char_oracle_error_rate,char_oracle_method,char_routing_regret,char_failure_window,char_primary_failure_mode,utter_sep_error_rate,utter_sep_errors,utter_sep_length,utter_sep_substitutions,utter_sep_insertions,utter_sep_deletions,utter_sep_empty,utter_mix_error_rate,utter_mix_errors,utter_mix_length,utter_router_error_rate,utter_oracle_error_rate,utter_oracle_method,utter_routing_regret,utter_failure_window,utter_primary_failure_mode
36,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.3349,0.672515,115,171,37,0,78,False,0.678363,116,171,30,0,86,False,0.672515,0.672515,separated,0.0,False,none,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
37,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.3843,0.626984,79,126,44,10,25,False,0.730159,92,126,60,1,31,False,0.626984,0.626984,separated,0.0,False,none,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
38,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.2287,0.798561,111,139,45,2,64,False,0.870504,121,139,61,0,60,False,0.798561,0.798561,separated,0.0,False,none,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
39,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.14,0.674419,58,86,29,0,29,False,0.662791,57,86,29,0,28,False,0.674419,0.662791,mixed,0.011628,True,wrong_route_nonhalluc,1.0,1,1,1,0,0,False,1.0,1,1,1.0,1.0,separated,0.0,False,none
40,NoOverlap,0,1,separated,overlap==0 and mixed transcript long; keep separated,False,1.1806,0.5,39,78,20,1,18,False,0.961538,75,78,57,0,18,False,0.5,0.5,separated,0.0,False,none,1.0,1,1,1,0,0,False,6.0,6,1,1.0,1.0,separated,0.0,False,none
41,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,0.9068,0.955752,108,113,66,0,42,False,0.982301,111,113,82,0,29,False,0.955752,0.955752,separated,0.0,False,none,1.5,3,2,2,1,0,False,1.0,2,2,1.5,1.0,mixed,0.5,True,separated_hallucination_cr_missed
42,NoOverlap,0,2,separated,overlap==0 and mixed transcript long; keep separated,False,0.9709,0.989011,180,182,48,0,132,False,0.873626,159,182,49,0,110,False,0.989011,0.873626,mixed,0.115385,True,wrong_route_nonhalluc,3.0,6,2,1,4,1,False,1.5,3,2,3.0,1.5,mixed,1.5,True,separated_hallucination_cr_missed
43,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,2.0157,0.938967,200,213,155,4,41,False,0.924883,197,213,91,0,106,False,0.924883,0.924883,mixed,0.0,False,none,1.666667,5,3,3,2,0,False,1.0,3,3,1.0,1.0,mixed,0.0,False,none
44,MidOverlap,2,3,mixed,"overlap in [1,2]; choose mixed",False,1.0929,0.866029,181,209,40,1,140,False,0.937799,196,209,51,2,143,False,0.937799,0.866029,separated,0.07177,True,wrong_route_nonhalluc,1.0,3,3,2,0,1,False,1.0,3,3,1.0,1.0,separated,0.0,False,none
45,LightOverlap,1,4,mixed,"overlap in [1,2]; choose mixed",False,0.943,0.979695,193,197,108,0,85,False,0.974619,192,197,114,0,78,False,0.974619,0.974619,mixed,0.0,False,none,3.25,13,4,3,9,1,False,1.0,4,4,1.0,1.0,mixed,0.0,False,none
