pair_id,overlap_ratio,noise_type,snr_db,cer_mixed,cer_speaker_gate,max_compression_ratio,repetition_count,mean_logprob,max_no_speech_prob
3,0.1,white,5.0,0.722222,0.777778,0.825,0,-1.326,0.249
3,0.1,white,0.0,0.888889,0.722222,0.7742,0,-1.8953,0.4674
3,0.1,pink,10.0,0.722222,0.611111,0.7317,0,-0.9145,0.2753
3,0.1,pink,5.0,0.944444,0.722222,0.7273,0,-1.5096,0.3666
3,0.1,pink,0.0,1.166667,0.888889,0.8462,0,-1.3513,0.3835
3,0.1,babble,10.0,0.777778,0.5,0.8,0,-0.9508,0.3243
3,0.1,babble,5.0,1.0,0.722222,0.7105,0,-0.6449,0.5567
3,0.1,babble,0.0,1.0,0.944444,1.0,1,-0.7107,0.5966
3,0.3,white,10.0,0.666667,0.611111,0.7317,0,-1.0964,0.3433
3,0.3,white,5.0,0.833333,0.722222,0.7105,0,-1.2837,0.3538
3,0.3,white,0.0,0.944444,0.666667,0.72,0,-1.5934,0.4244
3,0.3,pink,10.0,0.722222,0.611111,0.7105,0,-1.3675,0.3633
3,0.3,pink,5.0,0.777778,0.555556,0.6857,0,-1.086,0.4636
3,0.3,pink,0.0,1.0,0.888889,0.8571,0,-1.8297,0.3697
3,0.3,babble,10.0,0.666667,0.777778,0.7317,0,-1.1005,0.4047
3,0.3,babble,5.0,0.888889,0.555556,0.75,0,-0.4606,0.2731
3,0.3,babble,0.0,1.555556,1.0,0.0,0,0.0,0.0
3,0.6,white,10.0,0.888889,0.722222,0.7317,0,-1.2902,0.2836
3,0.6,white,5.0,0.833333,0.777778,0.7317,0,-1.3978,0.4038
3,0.6,white,0.0,0.944444,0.722222,0.7105,0,-1.7481,0.4975
3,0.6,pink,10.0,0.666667,0.611111,0.7317,0,-1.1291,0.3734
3,0.6,pink,5.0,0.722222,0.611111,0.7317,0,-1.3373,0.364
3,0.6,pink,0.0,0.944444,0.888889,0.7143,0,-1.8195,0.5878
3,0.6,babble,10.0,0.666667,0.833333,0.8049,0,-1.1714,0.5516
3,0.6,babble,5.0,0.888889,1.222222,0.8382,0,-1.4652,0.5938
3,0.6,babble,0.0,1.0,1.0,0.0,0,0.0,0.0
3,0.8,white,10.0,0.833333,0.555556,0.75,0,-1.4352,0.3723
3,0.8,white,5.0,12.333333,0.722222,0.75,0,-1.1767,0.4649
3,0.8,white,0.0,12.333333,0.944444,0.6857,0,-1.5803,0.4687
3,0.8,pink,10.0,0.833333,0.388889,0.7317,0,-0.9596,0.4556
3,0.8,pink,5.0,0.888889,0.777778,0.8077,0,-1.1622,0.4742
3,0.8,pink,0.0,0.833333,0.611111,0.8333,0,-1.23,0.4841
3,0.8,babble,10.0,0.777778,0.555556,0.75,0,-0.9547,0.4118
3,0.8,babble,5.0,8.777778,0.888889,0.8049,0,-0.6073,0.2859
3,0.8,babble,0.0,12.388889,0.944444,0.5,0,-0.9539,0.558
4,0.0,white,10.0,0.55,22.5,38.3143,316,-0.6271,0.1846
4,0.0,white,5.0,0.7,0.55,0.8462,0,-1.2581,0.3023
4,0.0,white,0.0,0.9,13.8,22.3158,64,-0.726,0.3791
4,0.0,pink,10.0,0.8,0.55,0.7692,0,-1.0144,0.1884
4,0.0,pink,5.0,0.85,0.7,0.7692,0,-1.24,0.2541
4,0.0,pink,0.0,1.0,0.95,0.7963,0,-1.4771,0.4083
4,0.0,babble,10.0,0.75,0.7,0.75,0,-1.0172,0.3197
4,0.0,babble,5.0,0.8,0.7,0.7714,0,-1.2824,0.4038
4,0.0,babble,0.0,0.95,1.15,1.1818,0,-0.5679,0.338
4,0.1,white,10.0,0.65,0.55,0.75,0,-1.1086,0.2934
4,0.1,white,5.0,0.7,0.65,0.7692,0,-1.1931,0.3734
4,0.1,white,0.0,0.85,1.2,1.2,1,-1.3781,0.395
4,0.1,pink,10.0,0.7,0.55,0.75,0,-0.8635,0.1809
4,0.1,pink,5.0,0.7,22.45,38.3143,316,-0.5098,0.2964
4,0.1,pink,0.0,0.75,0.8,0.766,0,-1.2246,0.3895
